id,famille,nom_service,product_id,prix_mensuel_tnd,cout_revient_tnd,marge_pct,duree
1,Exchange,Exchange Online (Plan 1),CFQ7TTC0LH16,12.1,8.47,30,P1M
2,Exchange,Exchange Online (Plan 1),CFQ7TTC0LH16,127.01,88.91,30,P1Y
3,Exchange,Exchange Online (Plan 2),CFQ7TTC0LH1P,254.02,177.81,30,P1Y
4,Exchange,Exchange Online (Plan 2),CFQ7TTC0LH1P,24.19,16.93,30,P1M
5,Exchange,Exchange Online Archiving for Exchange Online,CFQ7TTC0LH0J,2.55,1.78,30,P1M
6,Exchange,Exchange Online Archiving for Exchange Online,CFQ7TTC0LH0J,26.84,18.79,30,P1Y
7,Exchange,Exchange Online Archiving for Exchange Online,CFQ7TTC0LH0J,95.26,66.68,30,P1Y
8,Exchange,Exchange Online Archiving for Exchange Online,CFQ7TTC0LH0J,9.07,6.35,30,P1M
9,Exchange,Exchange Online Archiving for Exchange Server,CFQ7TTC0LHQ5,95.26,66.68,30,P1Y
10,Exchange,Exchange Online Archiving for Exchange Server,CFQ7TTC0LHQ5,9.07,6.35,30,P1M
11,Exchange,Exchange Online Kiosk,CFQ7TTC0LH0L,6.05,4.23,30,P1M
12,Exchange,Exchange Online Kiosk,CFQ7TTC0LH0L,63.5,44.45,30,P1Y
13,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,13.01,9.11,30,P1M
14,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,0.0,0.0,30,P1Y
15,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,17.55,12.28,30,P1M
16,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,13.01,9.11,30,P1M
17,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,184.09,128.86,30,P1Y
18,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,136.46,95.52,30,P1Y
19,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,17.55,12.28,30,P1M
20,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,184.09,128.86,30,P1Y
21,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,0.0,0.0,30,P1M
22,Microsoft 365,Microsoft 365 A3,CFQ7TTC0LHPL,136.46,95.52,30,P1Y
23,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,24.19,16.93,30,P1M
24,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,342.85,240.0,30,P1Y
25,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,254.02,177.81,30,P1Y
26,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,342.85,240.0,30,P1Y
27,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,32.67,22.87,30,P1M
28,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,254.02,177.81,30,P1Y
29,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,0.0,0.0,30,P1Y
30,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,24.19,16.93,30,P1M
31,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,0.0,0.0,30,P1M
32,Microsoft 365,Microsoft 365 A5,CFQ7TTC0LHPJ,32.67,22.87,30,P1M
33,Microsoft 365,Microsoft 365 A5 for students use benefit,CFQ7TTC0LHP8,0.0,0.0,30,P1Y
34,Microsoft 365,Microsoft 365 A5 for students use benefit,CFQ7TTC0LHP8,0.0,0.0,30,P1M
35,Microsoft 365,Microsoft 365 Apps for business,CFQ7TTC0LH1G,25.11,17.58,30,P1M
36,Microsoft 365,Microsoft 365 Apps for business,CFQ7TTC0LH1G,263.47,184.43,30,P1Y
37,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,107.35,75.14,30,P1Y
38,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,55.57,38.9,30,P1Y
39,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,5.29,3.7,30,P1M
40,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,10.21,7.15,30,P1M
41,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,0.0,0.0,30,P1M
42,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,72.95,51.06,30,P1Y
43,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,6.96,4.87,30,P1M
44,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,381.02,266.71,30,P1Y
45,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,36.29,25.4,30,P1M
46,Microsoft 365,Microsoft 365 Apps for enterprise,CFQ7TTC0LGZT,0.0,0.0,30,P1Y
47,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,4.54,3.18,30,P1M
48,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,0.0,0.0,30,P1M
49,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,0.0,0.0,30,P1Y
50,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,0.0,0.0,30,P1M
51,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,0.0,0.0,30,P1M
52,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,158.76,111.13,30,P1Y
53,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,15.12,10.58,30,P1M
54,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,0.0,0.0,30,P1Y
55,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,47.63,33.34,30,P1Y
56,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,3.4,2.38,30,P1M
57,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,35.91,25.14,30,P1Y
58,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,0.0,0.0,30,P1Y
59,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,63.5,44.45,30,P1Y
60,Microsoft 365,Microsoft 365 Audio Conferencing,CFQ7TTC0LHSL,6.05,4.23,30,P1M
61,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,1008.13,705.69,30,P1Y
62,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,18.14,12.7,30,P1M
63,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,0.0,0.0,30,P1M
64,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,1071.63,750.14,30,P1Y
65,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,0.0,0.0,30,P1Y
66,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,139.86,97.9,30,P1Y
67,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,190.51,133.36,30,P1Y
68,Microsoft 365,Microsoft 365 Business Basic,CFQ7TTC0LH18,13.29,9.3,30,P1M
69,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,56.83,39.78,30,P1M
70,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,698.54,488.98,30,P1Y
71,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,66.53,46.57,30,P1M
72,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,18.71,13.1,30,P1M
73,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,196.56,137.59,30,P1Y
74,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,1448.5,1013.95,30,P1Y
75,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,1347.19,943.03,30,P1Y
76,Microsoft 365,Microsoft 365 Business Premium,CFQ7TTC0LCHC,596.48,417.54,30,P1Y
77,Microsoft 365,Microsoft 365 Business Standard,CFQ7TTC0LDPB,28.1,19.67,30,P1M
78,Microsoft 365,Microsoft 365 Business Standard,CFQ7TTC0LDPB,1147.23,803.06,30,P1Y
79,Microsoft 365,Microsoft 365 Business Standard,CFQ7TTC0LDPB,1045.55,731.88,30,P1Y
80,Microsoft 365,Microsoft 365 Business Standard,CFQ7TTC0LDPB,37.8,26.46,30,P1M
